,corp_code,corp_name,stock_code
1676,00293886,위닉스,044340
1677,01070149,올리패스,244460
1678,00346911,아이톡시,052770
1679,00353610,이니텍,053350
1680,00379229,에스에이티,060540
1681,00406329,루멘스,038060
1682,00412348,LB세미콘,061970
1683,00455875,와토스코리아,079000
1684,00491938,GH신소재,130500
1685,01190124,미디어젠,279600
1686,01365825,피에스케이,319660
1687,01497142,엠아이큐브솔루션,373170
1688,01586455,꿈비,407400
1689,01685677,리센스메디컬,394420
1690,00523307,다원시스,068240
1691,00415868,펩트론,087010
1692,00533003,디케이락,105740
1693,00543204,아이오케이이엔엠,078860
1694,00238001,블루콤,033560
1695,01414422,아이비김영,339950
1696,01516456,인벤티지랩,389470
1697,00605522,소룩스,290690
1698,00808086,HLB펩,196300
1699,00305941,노브랜드,145170
1700,01985203,교보20호스팩,0132G0
1701,00526836,미래나노텍,095500
1702,00616962,린드먼아시아,277070
1703,00480048,모다이노칩,080420
1704,00172079,HLB파나진,046210
1705,00389110,지어소프트,051160
1706,01032404,콜마비앤에이치,200130
1707,01344363,다원넥스뷰,323350
1708,01027794,브이원텍,251630
1709,00206659,이랜텍,054210
1710,00219848,서희건설,035890
1711,00255105,케이바이오랩스,038530
1712,00442905,디에스엠,104040
1713,01529982,씨엠티엑스,388210
1714,00964595,엔바이오니아,317870
1715,00982023,실리콘투,257720
1716,00148531,제이스코홀딩스,023440
1717,01179608,포인트엔지니어링,256630
1718,01394669,누보,332290
1719,00185301,제이피아이헬스케어,0010V0
1720,01910759,삼성스팩10호,0044K0
1721,01593668,센서뷰,321370
1722,00186452,광무,029480
1723,00602172,와이엠티,251370
1724,00677486,그린광학,0015G0
1725,00136925,신원종합개발,017000
1726,01091054,쎄노텍,222420
1727,00989664,코아스템켐온,166480
1728,01042085,엑셈,205100
1729,01563667,더즌,462860
1730,01945339,신영스팩11호,0091W0
1731,00306719,에스텍,069510
1732,01391103,젝시믹스,337930
1733,01182578,DH오토리드,290120
1734,01432598,지씨지놈,340450
1735,00526872,이수앱지스,086890
1736,00815767,위메이드플레이,123420
1737,00204226,소프트센,032680
1738,00476498,컴투스,078340
1739,00607496,한빛레이저,452190
1740,01288827,HPSP,403870
1741,00242712,엘컴텍,037950
1742,00351579,비트플래닛,049470
1743,00339072,팬스타엔터프라이즈,054300
